SampleID	Methylobacterium	Pseudomonas-4	Pseudomonas-3	Unclassified Microbacteriaceae	Paenibacillus	Pseudomonas-2	Unclassified Enterobacteriaceae	Sphingomonas	Pseudomonas-1	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium-2	Pantoea	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium-1	Pseudomonas-5
A15		1			28	5	80	2	49	4	749	4	3
A15-S53		24			16	172	50		17		507	3	34
A16		1			19	28	81	1	88		573	50	9
A16-S65		31			19	20	53	1	47		443	6	18
A17		31			60	26	137	1	44		528	24	14
A17-S77		9			27	13	52	1	33		640	9	16
A18					3	7	102	10	5	1	796	8	
A18-S89		23			14		39		33		493	9	
A19		38			27	26	86	5	57		553	16	19
A22					5	34	31		127		638	5	
A23					7	68	47		35		604	5	10
A24		3			81	2	84	5	87		651		
A25		10		1	17	47	95	7	124	2	376	48	79
A26		23			2	2	438		116		355		
A27		302			10	28	39	3	2		478	6	19
A28		2			12	17	65	2	55		708	6	
A29		1			4	18	125	1	123		471	1	7
AB02						11	6		16		942		
AB10						136	29		42		725		
AI11		10			24	3	38	6	66	3	399	4	28
AI12		10			1		10	2	13		661	7	3
AI13		8			7	15	19	3	91	7	252	26	13
AI21		26		1	12	16	68		31	3	252	16	14
AI22		3		1	3	5	21	3	36	1	540	14	12
AI23					18	17	37	7	110	1	458	9	34
AN01		17			6	74	39	3	258		427	4	30
AN02		36			3	27	49	7	64		602	2	63
AN03		214			12	9	31	4	75		417	10	68
AN10		38			2	33	52	3	49		681		26
AN11		15			6	42	166	2	36		419	16	160
AN12		28		1	2	21	129	1	88		627	8	14
AS01		58			6	38	39	6	32		646	16	35
AS02		105			8	21	10		33		661	5	39
AS03		11			6	29	13		55		721	4	43
AS10					9	17	26	4	263		588	5	16
AS11		25			4	10	18		81		729	9	14
AS12		154			23	10	16		266		292	13	33
C01		39			1		33		47		773	6	6
C02		25			17		26		50		649	7	10
C03					7	38	56	1	69		660	7	23
C04					12	198	22		38		548	7	44
C05		27			25	44	67	2	128		473	28	19
C06					20	17	82	3	59		615	23	35
C07					11	149	44	1	64		465	32	68
C08		265			14	11	37		48		409	10	91
C09		466			9	7	25		34		270	3	74
C113		5			50	30	8	1	58		646	43	12
C12		99			24	43	81	6	27	2	223	99	80
C13					116	46	80	2	31		284	19	32
C14		12			72	106	9	1	15		108	6	119
C15		4			3		3		137		88	2	691
C16					26	2	102	3	62		706	10	7
C17		11		2	8	2	5	3	75	2	430	44	3
C18		157			24		40	2	30		398	42	97
C19		8			17	9	81		77		501	50	63
C213		21			19	12	32		106		561	11	45
C22					26	37	96	1	90		588	13	8
C23		9			11	15	164		40		106	28	19
C24					50	25	230	1	89		255	50	24
C25				1	64		303		269		289	2	
C26					11	6	45	1	74		733	5	
C27		1			17	190	84	2	284		286	9	
C28		39			6	14	51		31	2	660	9	36
C29		6			8	14	89	5	72		647	19	2
C313		6			8	26	22	3	164		435	2	86
C32		3			25	6	178		42		262	7	320
C33		2		1	15	7	86	3	67		561	2	106
C34					2	6	15	14	119		380	28	98
C35		9			4	16	13	2	44		280	34	347
C36					3	4	103	2	19		473	4	240
C37		10		1		1	12	2		1	499	2	223
C38					6	51	53		3	1	350		347
C39		29		1	1	4	34	6	19		226	10	426
